style,intensity,topic,caption
sarcastic,0.9,procrastination,I love how procrastination ruins everything.
dark,0.65,salary negotiations,"Another day, another round of salary negotiations."
dark,0.22,waking up early,"Eventually, waking up early gets us all."
wholesome,0.71,meetings,"No matter what, meetings doesn’t define your worth."
corporate,0.8,job applications,Aligning stakeholders around job applications.
genz,0.29,monday mornings,monday mornings but make it emotionally exhausting.
dark,0.32,performance reviews,"Eventually, performance reviews gets us all."
corporate,0.5,procrastination,Aligning stakeholders around procrastination.
dark,0.95,meetings,"Eventually, meetings gets us all."
genz,0.84,work-life balance,work-life balance but make it emotionally exhausting.
corporate,0.36,burnout,Aligning stakeholders around burnout.
wholesome,0.63,deadlines,"No matter what, deadlines doesn’t define your worth."
genz,0.7,presentations,presentations is literally my villain origin story
corporate,0.66,procrastination,Leveraging procrastination for improved outcomes.
corporate,0.39,meetings,Driving synergies to resolve meetings.
sarcastic,1.0,meetings,"Oh sure, because meetings always works perfectly."
sarcastic,0.9,office politics,Nothing screams success like office politics.
dark,0.44,job applications,"Eventually, job applications gets us all."
corporate,0.86,interviews,Aligning stakeholders around interviews.
genz,0.99,deadlines,me dealing with deadlines: absolutely not.
wholesome,0.3,interviews,"No matter what, interviews doesn’t define your worth."
genz,0.43,performance reviews,performance reviews but make it emotionally exhausting.
sarcastic,0.69,emails,"emails? Yeah, what could possibly go wrong."
dark,0.73,performance reviews,"Another day, another round of performance reviews."
corporate,0.87,meetings,Optimizing bandwidth to address meetings.
sarcastic,0.23,monday mornings,Nothing screams success like monday mornings.
sarcastic,0.57,procrastination,"procrastination? Yeah, what could possibly go wrong."
wholesome,0.35,side hustles,"side hustles is hard, but you’re doing your best."
genz,0.66,meetings,meetings but make it emotionally exhausting.
wholesome,0.25,long commutes,"No matter what, long commutes doesn’t define your worth."
genz,0.74,side hustles,side hustles?? nah bestie
wholesome,0.63,startups,You’re stronger than startups.
sarcastic,0.37,group projects,Nothing screams success like group projects.
sarcastic,0.5,salary negotiations,"Oh sure, because salary negotiations always works perfectly."
sarcastic,0.49,performance reviews,"Oh sure, because performance reviews always works perfectly."
wholesome,0.32,performance reviews,You’re stronger than performance reviews.
dark,0.95,salary negotiations,salary negotiations is just a reminder that time is winning.
wholesome,0.47,procrastination,You’re stronger than procrastination.
wholesome,0.68,performance reviews,"No matter what, performance reviews doesn’t define your worth."
genz,0.97,work-life balance,me dealing with work-life balance: absolutely not.
wholesome,0.31,deadlines,"deadlines is hard, but you’re doing your best."
genz,0.93,meetings,meetings is literally my villain origin story
corporate,0.37,startups,Leveraging startups for improved outcomes.
genz,0.32,startups,startups but make it emotionally exhausting.
wholesome,0.71,performance reviews,You’re stronger than performance reviews.
genz,0.63,office politics,office politics is literally my villain origin story
corporate,0.25,work-life balance,Leveraging work-life balance for improved outcomes.
wholesome,0.34,office politics,You’re stronger than office politics.
corporate,0.33,deadlines,Driving synergies to resolve deadlines.
genz,0.81,meetings,me dealing with meetings: absolutely not.
sarcastic,0.91,long commutes,"long commutes? Yeah, what could possibly go wrong."
corporate,0.74,deadlines,Optimizing bandwidth to address deadlines.
dark,0.87,salary negotiations,salary negotiations never forgets. Never forgives.
genz,0.33,performance reviews,me dealing with performance reviews: absolutely not.
dark,0.35,job applications,"Eventually, job applications gets us all."
wholesome,0.97,procrastination,"No matter what, procrastination doesn’t define your worth."
dark,0.44,interviews,"Eventually, interviews gets us all."
dark,0.56,waking up early,waking up early never forgets. Never forgives.
dark,0.22,monday mornings,monday mornings never forgets. Never forgives.
genz,0.78,long commutes,long commutes but make it emotionally exhausting.
wholesome,0.49,side hustles,"side hustles is hard, but you’re doing your best."
sarcastic,0.29,side hustles,I love how side hustles ruins everything.
wholesome,0.87,waking up early,You’re stronger than waking up early.
dark,0.96,salary negotiations,salary negotiations is just a reminder that time is winning.
wholesome,0.34,interviews,One step at a time with interviews. You’ve got this.
wholesome,0.3,exams,"No matter what, exams doesn’t define your worth."
genz,0.86,long commutes,long commutes but make it emotionally exhausting.
corporate,0.76,presentations,Optimizing bandwidth to address presentations.
corporate,0.54,exams,Leveraging exams for improved outcomes.
corporate,0.79,college life,Driving synergies to resolve college life.
dark,0.33,monday mornings,"Another day, another round of monday mornings."
genz,0.47,deadlines,me dealing with deadlines: absolutely not.
dark,0.68,meetings,meetings is just a reminder that time is winning.
dark,0.57,group projects,group projects is just a reminder that time is winning.
wholesome,0.67,performance reviews,"No matter what, performance reviews doesn’t define your worth."
wholesome,0.59,group projects,You’re stronger than group projects.
genz,0.73,deadlines,deadlines is literally my villain origin story
sarcastic,0.97,college life,Nothing screams success like college life.
corporate,0.52,group projects,Leveraging group projects for improved outcomes.
genz,0.62,interviews,me dealing with interviews: absolutely not.
corporate,0.56,exams,Optimizing bandwidth to address exams.
dark,0.63,office politics,"Another day, another round of office politics."
dark,0.82,waking up early,waking up early never forgets. Never forgives.
sarcastic,0.67,burnout,I love how burnout ruins everything.
genz,0.9,performance reviews,performance reviews?? nah bestie
dark,0.59,job applications,job applications never forgets. Never forgives.
wholesome,0.78,group projects,"No matter what, group projects doesn’t define your worth."
dark,0.5,startups,startups is just a reminder that time is winning.
corporate,0.7,burnout,Driving synergies to resolve burnout.
corporate,0.45,presentations,Aligning stakeholders around presentations.
wholesome,0.51,interviews,"interviews is hard, but you’re doing your best."
sarcastic,0.44,burnout,Nothing screams success like burnout.
genz,0.64,office politics,office politics?? nah bestie
wholesome,0.55,meetings,One step at a time with meetings. You’ve got this.
genz,0.55,long commutes,long commutes is literally my villain origin story
dark,0.36,salary negotiations,salary negotiations is just a reminder that time is winning.
wholesome,0.44,monday mornings,You’re stronger than monday mornings.
corporate,0.58,side hustles,Leveraging side hustles for improved outcomes.
dark,0.74,procrastination,"Another day, another round of procrastination."
sarcastic,1.0,emails,"emails? Yeah, what could possibly go wrong."
corporate,0.62,monday mornings,Leveraging monday mornings for improved outcomes.
sarcastic,0.3,job applications,"Oh sure, because job applications always works perfectly."
genz,0.51,exams,exams but make it emotionally exhausting.
sarcastic,0.51,exams,"exams? Yeah, what could possibly go wrong."
genz,0.53,meetings,meetings?? nah bestie
genz,0.68,meetings,meetings is literally my villain origin story
wholesome,0.82,burnout,"No matter what, burnout doesn’t define your worth."
wholesome,0.65,deadlines,You’re stronger than deadlines.
corporate,0.44,burnout,Aligning stakeholders around burnout.
wholesome,0.28,waking up early,"No matter what, waking up early doesn’t define your worth."
dark,0.42,startups,"Eventually, startups gets us all."
sarcastic,0.73,college life,"college life? Yeah, what could possibly go wrong."
genz,0.47,performance reviews,performance reviews is literally my villain origin story
sarcastic,0.28,salary negotiations,"salary negotiations? Yeah, what could possibly go wrong."
corporate,0.62,performance reviews,Driving synergies to resolve performance reviews.
genz,0.91,side hustles,side hustles but make it emotionally exhausting.
wholesome,0.26,group projects,One step at a time with group projects. You’ve got this.
genz,1.0,deadlines,deadlines?? nah bestie
dark,0.97,meetings,meetings never forgets. Never forgives.
dark,0.76,work-life balance,"Eventually, work-life balance gets us all."
corporate,0.53,waking up early,Leveraging waking up early for improved outcomes.
dark,0.25,salary negotiations,"Another day, another round of salary negotiations."
wholesome,0.7,presentations,"No matter what, presentations doesn’t define your worth."
dark,0.56,interviews,"Another day, another round of interviews."
genz,0.33,salary negotiations,salary negotiations is literally my villain origin story
corporate,0.44,group projects,Aligning stakeholders around group projects.
sarcastic,0.38,group projects,I love how group projects ruins everything.
